"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1995",404102.992,
"AUS","GDP","TOT","MLN_USD","A","1996",424472.904,
"AUS","GDP","TOT","MLN_USD","A","1997",450962.701,
"AUS","GDP","TOT","MLN_USD","A","1998",478691.653,
"AUS","GDP","TOT","MLN_USD","A","1999",510947.993,
"AUS","GDP","TOT","MLN_USD","A","2000",539145.387,
"AUS","GDP","TOT","MLN_USD","A","2001",569808.633,
"AUS","GDP","TOT","MLN_USD","A","2002",600908.415,
"AUS","GDP","TOT","MLN_USD","A","2003",639129.682,
"AUS","GDP","TOT","MLN_USD","A","2004",678093.349,
"AUS","GDP","TOT","MLN_USD","A","2005",719977.551,
"AUS","GDP","TOT","MLN_USD","A","2006",776413.103,
"AUS","GDP","TOT","MLN_USD","A","2007",826927.984,
"AUS","GDP","TOT","MLN_USD","A","2008",852859.354,
"AUS","GDP","TOT","MLN_USD","A","2009",904208.888,
"AUS","GDP","TOT","MLN_USD","A","2010",943487.934,
"AUS","GDP","TOT","MLN_USD","A","2011",993249.916,
"AUS","GDP","TOT","MLN_USD","A","2012",998266.252,
"AUS","GDP","TOT","MLN_USD","A","2013",1105431.18,
"AUS","GDP","TOT","MLN_USD","A","2014",1118585.036,
"AUS","GDP","TOT","MLN_USD","A","2015",1125701.148,
"AUS","GDP","TOT","MLN_USD","A","2016",1213233.545,
"AUS","GDP","TOT","MLN_USD","A","2017",1248366.725,
"AUS","GDP","TOT","MLN_USD","A","2018",1326195.638,
"AUS","GDP","TOT","MLN_USD","A","2019",1341053.276,
"AUS","GDP","TOT","MLN_USD","A","2020",1436700.137,
"AUS","GDP","TOT","MLN_USD","A","2021",1611809.807,
"AUS","GDP","TOT","MLN_USD","A","2022",1804621.816,
"AUT","GDP","TOT","MLN_USD","A","1995",188359.111,
"AUT","GDP","TOT","MLN_USD","A","1996",195478.33,
"AUT","GDP","TOT","MLN_USD","A","1997",202600.685,
"AUT","GDP","TOT","MLN_USD","A","1998",212786.029,
"AUT","GDP","TOT","MLN_USD","A","1999",220639.939,
"AUT","GDP","TOT","MLN_USD","A","2000",235393.211,
"AUT","GDP","TOT","MLN_USD","A","2001",238924.377,
"AUT","GDP","TOT","MLN_USD","A","2002",251984.784,
"AUT","GDP","TOT","MLN_USD","A","2003",261070.253,
"AUT","GDP","TOT","MLN_USD","A","2004",276000.045,
"AUT","GDP","TOT","MLN_USD","A","2005",288086.722,
"AUT","GDP","TOT","MLN_USD","A","2006",311394.8,
"AUT","GDP","TOT","MLN_USD","A","2007",327137.69,
"AUT","GDP","TOT","MLN_USD","A","2008",343812.976,
"AUT","GDP","TOT","MLN_USD","A","2009",341396.516,
"AUT","GDP","TOT","MLN_USD","A","2010",351323.808,
"AUT","GDP","TOT","MLN_USD","A","2011",373031.477,
"AUT","GDP","TOT","MLN_USD","A","2012",391635.176,
"AUT","GDP","TOT","MLN_USD","A","2013",406370.245,
"AUT","GDP","TOT","MLN_USD","A","2014",417059.519,
"AUT","GDP","TOT","MLN_USD","A","2015",430975.924,
"AUT","GDP","TOT","MLN_USD","A","2016",460282.647,
"AUT","GDP","TOT","MLN_USD","A","2017",476590.588,
"AUT","GDP","TOT","MLN_USD","A","2018",503361.417,
"AUT","GDP","TOT","MLN_USD","A","2019",530139.203,
"AUT","GDP","TOT","MLN_USD","A","2020",510361.633,
"AUT","GDP","TOT","MLN_USD","A","2021",535814.997,
"AUT","GDP","TOT","MLN_USD","A","2022",613714.889,
"BEL","GDP","TOT","MLN_USD","A","1995",227545.765,
"BEL","GDP","TOT","MLN_USD","A","1996",231009.739,
"BEL","GDP","TOT","MLN_USD","A","1997",241623.533,
"BEL","GDP","TOT","MLN_USD","A","1998",248642.021,
"BEL","GDP","TOT","MLN_USD","A","1999",260168.781,
"BEL","GDP","TOT","MLN_USD","A","2000",284881.505,
"BEL","GDP","TOT","MLN_USD","A","2001",296187.433,
"BEL","GDP","TOT","MLN_USD","A","2002",312900.475,
"BEL","GDP","TOT","MLN_USD","A","2003",320979.727,
"BEL","GDP","TOT","MLN_USD","A","2004",334135.685,
"BEL","GDP","TOT","MLN_USD","A","2005",347658.439,
"BEL","GDP","TOT","MLN_USD","A","2006",371888.473,
"BEL","GDP","TOT","MLN_USD","A","2007",390981.666,
"BEL","GDP","TOT","MLN_USD","A","2008",405729.43,
"BEL","GDP","TOT","MLN_USD","A","2009",407566.641,
"BEL","GDP","TOT","MLN_USD","A","2010",434058.868,
"BEL","GDP","TOT","MLN_USD","A","2011",451932.625,
"BEL","GDP","TOT","MLN_USD","A","2012",469720.336,
"BEL","GDP","TOT","MLN_USD","A","2013",487343.796,
"BEL","GDP","TOT","MLN_USD","A","2014",503619.623,
"BEL","GDP","TOT","MLN_USD","A","2015",520877.807,
"BEL","GDP","TOT","MLN_USD","A","2016",550677.566,
"BEL","GDP","TOT","MLN_USD","A","2017",573788.528,
"BEL","GDP","TOT","MLN_USD","A","2018",600269.926,
"BEL","GDP","TOT","MLN_USD","A","2019",641140.489,
"BEL","GDP","TOT","MLN_USD","A","2020",630920.981,
"BEL","GDP","TOT","MLN_USD","A","2021",689479.057,
"BEL","GDP","TOT","MLN_USD","A","2022",765169.283,"P"
"CAN","GDP","TOT","MLN_USD","A","1995",688183.628,
"CAN","GDP","TOT","MLN_USD","A","1996",712130.958,
"CAN","GDP","TOT","MLN_USD","A","1997",755416.033,
"CAN","GDP","TOT","MLN_USD","A","1998",793682.05,
"CAN","GDP","TOT","MLN_USD","A","1999",846421.343,
"CAN","GDP","TOT","MLN_USD","A","2000",901003.29,
"CAN","GDP","TOT","MLN_USD","A","2001",937793.044,
"CAN","GDP","TOT","MLN_USD","A","2002",971009.088,
"CAN","GDP","TOT","MLN_USD","A","2003",1023686.549,
"CAN","GDP","TOT","MLN_USD","A","2004",1083615.23,
"CAN","GDP","TOT","MLN_USD","A","2005",1171340.162,
"CAN","GDP","TOT","MLN_USD","A","2006",1241618.911,
"CAN","GDP","TOT","MLN_USD","A","2007",1301593.852,
"CAN","GDP","TOT","MLN_USD","A","2008",1342396.613,
"CAN","GDP","TOT","MLN_USD","A","2009",1307000.658,
"CAN","GDP","TOT","MLN_USD","A","2010",1363578.975,
"CAN","GDP","TOT","MLN_USD","A","2011",1430807.125,
"CAN","GDP","TOT","MLN_USD","A","2012",1468094.965,
"CAN","GDP","TOT","MLN_USD","A","2013",1554122.745,
"CAN","GDP","TOT","MLN_USD","A","2014",1621396.709,
"CAN","GDP","TOT","MLN_USD","A","2015",1594850.842,
"CAN","GDP","TOT","MLN_USD","A","2016",1678093.396,
"CAN","GDP","TOT","MLN_USD","A","2017",1765763.154,
"CAN","GDP","TOT","MLN_USD","A","2018",1852987.755,
"CAN","GDP","TOT","MLN_USD","A","2019",1873760.081,
"CAN","GDP","TOT","MLN_USD","A","2020",1794940.001,
"CAN","GDP","TOT","MLN_USD","A","2021",2026899.115,
"CAN","GDP","TOT","MLN_USD","A","2022",2271469.345,
"CZE","GDP","TOT","MLN_USD","A","1995",143136.024,
"CZE","GDP","TOT","MLN_USD","A","1996",151528.229,
"CZE","GDP","TOT","MLN_USD","A","1997",152754.882,
"CZE","GDP","TOT","MLN_USD","A","1998",154189.841,
"CZE","GDP","TOT","MLN_USD","A","1999",158333.514,
"CZE","GDP","TOT","MLN_USD","A","2000",166527.993,
"CZE","GDP","TOT","MLN_USD","A","2001",180061.911,
"CZE","GDP","TOT","MLN_USD","A","2002",186119.946,
"CZE","GDP","TOT","MLN_USD","A","2003",199181.111,
"CZE","GDP","TOT","MLN_USD","A","2004",213447.732,
"CZE","GDP","TOT","MLN_USD","A","2005",225620.781,
"CZE","GDP","TOT","MLN_USD","A","2006",244936.694,
"CZE","GDP","TOT","MLN_USD","A","2007",270711.922,
"CZE","GDP","TOT","MLN_USD","A","2008",290503.947,
"CZE","GDP","TOT","MLN_USD","A","2009",289942.416,
"CZE","GDP","TOT","MLN_USD","A","2010",292032.224,
"CZE","GDP","TOT","MLN_USD","A","2011",304400.914,
"CZE","GDP","TOT","MLN_USD","A","2012",307490.199,
"CZE","GDP","TOT","MLN_USD","A","2013",324029.978,
"CZE","GDP","TOT","MLN_USD","A","2014",342099.837,
"CZE","GDP","TOT","MLN_USD","A","2015",357503.881,
"CZE","GDP","TOT","MLN_USD","A","2016",381420.335,
"CZE","GDP","TOT","MLN_USD","A","2017",411327.86,
"CZE","GDP","TOT","MLN_USD","A","2018",437355.916,
"CZE","GDP","TOT","MLN_USD","A","2019",471832.671,
"CZE","GDP","TOT","MLN_USD","A","2020",458157.819,
"CZE","GDP","TOT","MLN_USD","A","2021",479378.76,
"CZE","GDP","TOT","MLN_USD","A","2022",525014.413,
"DNK","GDP","TOT","MLN_USD","A","1995",118782.686,
"DNK","GDP","TOT","MLN_USD","A","1996",124952.605,
"DNK","GDP","TOT","MLN_USD","A","1997",131746.08,
"DNK","GDP","TOT","MLN_USD","A","1998",136926.594,
"DNK","GDP","TOT","MLN_USD","A","1999",141846.299,
"DNK","GDP","TOT","MLN_USD","A","2000",153052.899,
"DNK","GDP","TOT","MLN_USD","A","2001",157778.439,
"DNK","GDP","TOT","MLN_USD","A","2002",164720.391,
"DNK","GDP","TOT","MLN_USD","A","2003",166147.966,
"DNK","GDP","TOT","MLN_USD","A","2004",178018.944,
"DNK","GDP","TOT","MLN_USD","A","2005",185074.466,
"DNK","GDP","TOT","MLN_USD","A","2006",202984.122,
"DNK","GDP","TOT","MLN_USD","A","2007",213056.909,
"DNK","GDP","TOT","MLN_USD","A","2008",226767.494,
"DNK","GDP","TOT","MLN_USD","A","2009",222756.489,
"DNK","GDP","TOT","MLN_USD","A","2010",238555.117,
"DNK","GDP","TOT","MLN_USD","A","2011",247352.237,
"DNK","GDP","TOT","MLN_USD","A","2012",250524.599,
"DNK","GDP","TOT","MLN_USD","A","2013",262368.12,
"DNK","GDP","TOT","MLN_USD","A","2014",270330.607,
"DNK","GDP","TOT","MLN_USD","A","2015",278748.365,
"DNK","GDP","TOT","MLN_USD","A","2016",297719.06,
"DNK","GDP","TOT","MLN_USD","A","2017",319130.165,
"DNK","GDP","TOT","MLN_USD","A","2018",333035.355,
"DNK","GDP","TOT","MLN_USD","A","2019",348345.911,
"DNK","GDP","TOT","MLN_USD","A","2020",354277.793,
"DNK","GDP","TOT","MLN_USD","A","2021",387053.183,
"DNK","GDP","TOT","MLN_USD","A","2022",442119.714,
"FIN","GDP","TOT","MLN_USD","A","1995",100049.872,
"FIN","GDP","TOT","MLN_USD","A","1996",102941.742,
"FIN","GDP","TOT","MLN_USD","A","1997",112019.85,
"FIN","GDP","TOT","MLN_USD","A","1998",121506.579,
"FIN","GDP","TOT","MLN_USD","A","1999",127934.786,
"FIN","GDP","TOT","MLN_USD","A","2000",138670.013,
"FIN","GDP","TOT","MLN_USD","A","2001",144231.927,
"FIN","GDP","TOT","MLN_USD","A","2002",148763.802,
"FIN","GDP","TOT","MLN_USD","A","2003",151453.508,
"FIN","GDP","TOT","MLN_USD","A","2004",163129.043,
"FIN","GDP","TOT","MLN_USD","A","2005",168146.753,
"FIN","GDP","TOT","MLN_USD","A","2006",181438.129,
"FIN","GDP","TOT","MLN_USD","A","2007",200141.702,
"FIN","GDP","TOT","MLN_USD","A","2008",212980.742,
"FIN","GDP","TOT","MLN_USD","A","2009",202731.154,
"FIN","GDP","TOT","MLN_USD","A","2010",208926.59,
"FIN","GDP","TOT","MLN_USD","A","2011",220471.171,
"FIN","GDP","TOT","MLN_USD","A","2012",221285.636,
"FIN","GDP","TOT","MLN_USD","A","2013",225679.983,
"FIN","GDP","TOT","MLN_USD","A","2014",228058.636,
"FIN","GDP","TOT","MLN_USD","A","2015",232867.602,
"FIN","GDP","TOT","MLN_USD","A","2016",246928.493,
"FIN","GDP","TOT","MLN_USD","A","2017",262026.563,
"FIN","GDP","TOT","MLN_USD","A","2018",273455.993,
"FIN","GDP","TOT","MLN_USD","A","2019",286082.927,
"FIN","GDP","TOT","MLN_USD","A","2020",289224.32,
"FIN","GDP","TOT","MLN_USD","A","2021",303527.426,
"FIN","GDP","TOT","MLN_USD","A","2022",330422.255,
"FRA","GDP","TOT","MLN_USD","A","1995",1237192.1,
"FRA","GDP","TOT","MLN_USD","A","1996",1276252.375,
"FRA","GDP","TOT","MLN_USD","A","1997",1333839.225,
"FRA","GDP","TOT","MLN_USD","A","1998",1405950.617,
"FRA","GDP","TOT","MLN_USD","A","1999",1470523.886,
"FRA","GDP","TOT","MLN_USD","A","2000",1589552.173,
"FRA","GDP","TOT","MLN_USD","A","2001",1687041.876,
"FRA","GDP","TOT","MLN_USD","A","2002",1762925.935,
"FRA","GDP","TOT","MLN_USD","A","2003",1753693.725,
"FRA","GDP","TOT","MLN_USD","A","2004",1822243.671,
"FRA","GDP","TOT","MLN_USD","A","2005",1926880.385,
"FRA","GDP","TOT","MLN_USD","A","2006",2065560.669,
"FRA","GDP","TOT","MLN_USD","A","2007",2184595.05,
"FRA","GDP","TOT","MLN_USD","A","2008",2259255.844,
"FRA","GDP","TOT","MLN_USD","A","2009",2243937.742,
"FRA","GDP","TOT","MLN_USD","A","2010",2334557.742,
"FRA","GDP","TOT","MLN_USD","A","2011",2446474.544,
"FRA","GDP","TOT","MLN_USD","A","2012",2474005.287,
"FRA","GDP","TOT","MLN_USD","A","2013",2608523.504,
"FRA","GDP","TOT","MLN_USD","A","2014",2662032.873,
"FRA","GDP","TOT","MLN_USD","A","2015",2718495.127,
"FRA","GDP","TOT","MLN_USD","A","2016",2864105.631,
"FRA","GDP","TOT","MLN_USD","A","2017",2983010.673,
"FRA","GDP","TOT","MLN_USD","A","2018",3125379.86,
"FRA","GDP","TOT","MLN_USD","A","2019",3403158.941,
"FRA","GDP","TOT","MLN_USD","A","2020",3262896.418,
"FRA","GDP","TOT","MLN_USD","A","2021",3481611.03,"P"
"FRA","GDP","TOT","MLN_USD","A","2022",3764758.779,"P"
"DEU","GDP","TOT","MLN_USD","A","1995",1924795.611,
"DEU","GDP","TOT","MLN_USD","A","1996",1972389.653,
"DEU","GDP","TOT","MLN_USD","A","1997",2015809.715,
"DEU","GDP","TOT","MLN_USD","A","1998",2079540.241,
"DEU","GDP","TOT","MLN_USD","A","1999",2158515.841,
"DEU","GDP","TOT","MLN_USD","A","2000",2236504.797,
"DEU","GDP","TOT","MLN_USD","A","2001",2336594.757,
"DEU","GDP","TOT","MLN_USD","A","2002",2406900.908,
"DEU","GDP","TOT","MLN_USD","A","2003",2468569.147,
"DEU","GDP","TOT","MLN_USD","A","2004",2585566.23,
"DEU","GDP","TOT","MLN_USD","A","2005",2622039.802,
"DEU","GDP","TOT","MLN_USD","A","2006",2813824.86,
"DEU","GDP","TOT","MLN_USD","A","2007",2985617.276,
"DEU","GDP","TOT","MLN_USD","A","2008",3103958.247,
"DEU","GDP","TOT","MLN_USD","A","2009",3015332.321,
"DEU","GDP","TOT","MLN_USD","A","2010",3185267.891,
"DEU","GDP","TOT","MLN_USD","A","2011",3415019.966,
"DEU","GDP","TOT","MLN_USD","A","2012",3487234.448,
"DEU","GDP","TOT","MLN_USD","A","2013",3628559.337,
"DEU","GDP","TOT","MLN_USD","A","2014",3807114.521,
"DEU","GDP","TOT","MLN_USD","A","2015",3889081.896,
"DEU","GDP","TOT","MLN_USD","A","2016",4165169.905,
"DEU","GDP","TOT","MLN_USD","A","2017",4386729.188,
"DEU","GDP","TOT","MLN_USD","A","2018",4576056.532,
"DEU","GDP","TOT","MLN_USD","A","2019",4770495.488,"P"
"DEU","GDP","TOT","MLN_USD","A","2020",4694786.155,"P"
"DEU","GDP","TOT","MLN_USD","A","2021",4913166.143,"P"
"DEU","GDP","TOT","MLN_USD","A","2022",5323008.116,"P"
"GRC","GDP","TOT","MLN_USD","A","1995",163008.397,
"GRC","GDP","TOT","MLN_USD","A","1996",171331.14,
"GRC","GDP","TOT","MLN_USD","A","1997",182903.324,
"GRC","GDP","TOT","MLN_USD","A","1998",193336.035,
"GRC","GDP","TOT","MLN_USD","A","1999",198711.939,
"GRC","GDP","TOT","MLN_USD","A","2000",210928.9,
"GRC","GDP","TOT","MLN_USD","A","2001",227657.332,
"GRC","GDP","TOT","MLN_USD","A","2002",246559.281,
"GRC","GDP","TOT","MLN_USD","A","2003",261156.845,
"GRC","GDP","TOT","MLN_USD","A","2004",278924.6,
"GRC","GDP","TOT","MLN_USD","A","2005",281028.396,
"GRC","GDP","TOT","MLN_USD","A","2006",314601.571,
"GRC","GDP","TOT","MLN_USD","A","2007",323985.185,
"GRC","GDP","TOT","MLN_USD","A","2008",341817.829,
"GRC","GDP","TOT","MLN_USD","A","2009",337203.102,
"GRC","GDP","TOT","MLN_USD","A","2010",310415.31,"B"
"GRC","GDP","TOT","MLN_USD","A","2011",285079.561,
"GRC","GDP","TOT","MLN_USD","A","2012",275143.683,
"GRC","GDP","TOT","MLN_USD","A","2013",284949.076,
"GRC","GDP","TOT","MLN_USD","A","2014",290011.379,
"GRC","GDP","TOT","MLN_USD","A","2015",289570.644,
"GRC","GDP","TOT","MLN_USD","A","2016",296466.614,
"GRC","GDP","TOT","MLN_USD","A","2017",307636.013,
"GRC","GDP","TOT","MLN_USD","A","2018",317881.481,
"GRC","GDP","TOT","MLN_USD","A","2019",334033.617,
"GRC","GDP","TOT","MLN_USD","A","2020",303299.582,
"GRC","GDP","TOT","MLN_USD","A","2021",332695.257,"P"
"GRC","GDP","TOT","MLN_USD","A","2022",386578.919,"P"
"HUN","GDP","TOT","MLN_USD","A","1995",94949.945,
"HUN","GDP","TOT","MLN_USD","A","1996",96433.633,
"HUN","GDP","TOT","MLN_USD","A","1997",101102.156,
"HUN","GDP","TOT","MLN_USD","A","1998",106755.322,
"HUN","GDP","TOT","MLN_USD","A","1999",111315.201,
"HUN","GDP","TOT","MLN_USD","A","2000",121055.806,
"HUN","GDP","TOT","MLN_USD","A","2001",134582.542,
"HUN","GDP","TOT","MLN_USD","A","2002",147567.884,
"HUN","GDP","TOT","MLN_USD","A","2003",156795.607,
"HUN","GDP","TOT","MLN_USD","A","2004",164432.54,
"HUN","GDP","TOT","MLN_USD","A","2005",172572.944,
"HUN","GDP","TOT","MLN_USD","A","2006",185137.549,
"HUN","GDP","TOT","MLN_USD","A","2007",192032.269,
"HUN","GDP","TOT","MLN_USD","A","2008",208006.337,
"HUN","GDP","TOT","MLN_USD","A","2009",207698.243,
"HUN","GDP","TOT","MLN_USD","A","2010",217415.959,
"HUN","GDP","TOT","MLN_USD","A","2011",229643.36,
"HUN","GDP","TOT","MLN_USD","A","2012",230821.511,
"HUN","GDP","TOT","MLN_USD","A","2013",242855.184,
"HUN","GDP","TOT","MLN_USD","A","2014",253484.632,
"HUN","GDP","TOT","MLN_USD","A","2015",263781.873,
"HUN","GDP","TOT","MLN_USD","A","2016",274222.712,
"HUN","GDP","TOT","MLN_USD","A","2017",288707.448,
"HUN","GDP","TOT","MLN_USD","A","2018",311927.137,
"HUN","GDP","TOT","MLN_USD","A","2019",338526.704,
"HUN","GDP","TOT","MLN_USD","A","2020",333161.834,
"HUN","GDP","TOT","MLN_USD","A","2021",356701.68,
"HUN","GDP","TOT","MLN_USD","A","2022",402509.611,"P"
"ISL","GDP","TOT","MLN_USD","A","1995",6407.343,
"ISL","GDP","TOT","MLN_USD","A","1996",6662.593,
"ISL","GDP","TOT","MLN_USD","A","1997",7286.027,
"ISL","GDP","TOT","MLN_USD","A","1998",7871.118,
"ISL","GDP","TOT","MLN_USD","A","1999",8198.7,
"ISL","GDP","TOT","MLN_USD","A","2000",8375.645,
"ISL","GDP","TOT","MLN_USD","A","2001",9085.392,
"ISL","GDP","TOT","MLN_USD","A","2002",9375.293,
"ISL","GDP","TOT","MLN_USD","A","2003",9467.595,
"ISL","GDP","TOT","MLN_USD","A","2004",10402.625,
"ISL","GDP","TOT","MLN_USD","A","2005",11074.926,
"ISL","GDP","TOT","MLN_USD","A","2006",12059.466,
"ISL","GDP","TOT","MLN_USD","A","2007",12920.229,
"ISL","GDP","TOT","MLN_USD","A","2008",13879.916,
"ISL","GDP","TOT","MLN_USD","A","2009",13333.839,
"ISL","GDP","TOT","MLN_USD","A","2010",12649.529,
"ISL","GDP","TOT","MLN_USD","A","2011",13059.434,
"ISL","GDP","TOT","MLN_USD","A","2012",13471.498,
"ISL","GDP","TOT","MLN_USD","A","2013",14378.252,
"ISL","GDP","TOT","MLN_USD","A","2014",15058.764,
"ISL","GDP","TOT","MLN_USD","A","2015",16276.45,
"ISL","GDP","TOT","MLN_USD","A","2016",17939.411,
"ISL","GDP","TOT","MLN_USD","A","2017",19106.258,
"ISL","GDP","TOT","MLN_USD","A","2018",20174.854,
"ISL","GDP","TOT","MLN_USD","A","2019",21507.881,
"ISL","GDP","TOT","MLN_USD","A","2020",19912.086,
"ISL","GDP","TOT","MLN_USD","A","2021",21715.673,
"ISL","GDP","TOT","MLN_USD","A","2022",26593.332,
"IRL","GDP","TOT","MLN_USD","A","1995",68369.684,
"IRL","GDP","TOT","MLN_USD","A","1996",74500.238,
"IRL","GDP","TOT","MLN_USD","A","1997",83169.309,
"IRL","GDP","TOT","MLN_USD","A","1998",93163.071,
"IRL","GDP","TOT","MLN_USD","A","1999",101534.479,
"IRL","GDP","TOT","MLN_USD","A","2000",114959.9,
"IRL","GDP","TOT","MLN_USD","A","2001",125937.229,
"IRL","GDP","TOT","MLN_USD","A","2002",138490.842,
"IRL","GDP","TOT","MLN_USD","A","2003",145013.085,
"IRL","GDP","TOT","MLN_USD","A","2004",157656.138,
"IRL","GDP","TOT","MLN_USD","A","2005",168336.081,
"IRL","GDP","TOT","MLN_USD","A","2006",189018.885,
"IRL","GDP","TOT","MLN_USD","A","2007",205779.814,
"IRL","GDP","TOT","MLN_USD","A","2008",198299.13,
